Gene_ID,Gene_Name,Condition
ENSG00000213538,KRT8P41,Pre-Transplant
ENSG00000255390,DCHS1-AS1,Pre-Transplant
ENSG00000132254,ARFIP2,Pre-Transplant
ENSG00000167333,TRIM68,Pre-Transplant
ENSG00000247271,ZBED5-AS1,Pre-Transplant
ENSG00000254518,LINC02750,Pre-Transplant
ENSG00000177447,CBX3P1,Pre-Transplant
ENSG00000252568,RNU7-28P,Pre-Transplant
ENSG00000254925,OR4C9P,Pre-Transplant
ENSG00000185238,PRMT3,Pre-Transplant
ENSG00000026508,CD44,Pre-Transplant
ENSG00000182261,NLRP10,Pre-Transplant
ENSG00000279270,OR52R1,Pre-Transplant
ENSG00000129158,SERGEF,Pre-Transplant
ENSG00000252922,RNU6-365P,Pre-Transplant
ENSG00000255113,OR4A48P,Pre-Transplant
ENSG00000205496,OR51A2,Pre-Transplant
ENSG00000223080,Y_RNA,Pre-Transplant
ENSG00000201856,RNA5SP331,Pre-Transplant
ENSG00000254622,NAV2-AS4,Pre-Transplant
ENSG00000254768,SLC17A6-DT,Pre-Transplant
ENSG00000222385,RN7SKP158,Pre-Transplant
ENSG00000255323,LINC01495,Pre-Transplant
ENSG00000176547,OR4C3,Pre-Transplant
ENSG00000241228,RPL12P31,Pre-Transplant
ENSG00000184669,OR7E14P,Pre-Transplant
ENSG00000244926,ALKBH3-AS1,Pre-Transplant
ENSG00000132259,CNGA4,Pre-Transplant
ENSG00000170782,OR10A4,Pre-Transplant
ENSG00000110693,SOX6,Pre-Transplant
ENSG00000182565,OR4C2P,Pre-Transplant
ENSG00000070081,NUCB2,Pre-Transplant
ENSG00000255312,OR4C7P,Pre-Transplant
ENSG00000254791,FAR1-IT1,Pre-Transplant
ENSG00000255111,ANKRD33BP5,Pre-Transplant
ENSG00000254723,OR4A12P,Pre-Transplant
ENSG00000166349,RAG1,Pre-Transplant
ENSG00000252874,Y_RNA,Pre-Transplant
ENSG00000197161,OR4C4P,Pre-Transplant
ENSG00000181963,OR52K2,Pre-Transplant
ENSG00000254542,NAV2-AS3,Pre-Transplant
ENSG00000183313,OR52L1,Pre-Transplant
ENSG00000166402,TUB,Pre-Transplant
ENSG00000213713,PIGCP1,Pre-Transplant
ENSG00000170688,OR5E1P,Pre-Transplant
ENSG00000197790,OR52M1,Pre-Transplant
ENSG00000254884,PRR13P2,Pre-Transplant
ENSG00000212789,ST13P5,Pre-Transplant
ENSG00000205497,OR51A4,Pre-Transplant
ENSG00000133800,LYVE1,Pre-Transplant
ENSG00000264583,MIR4487,Pre-Transplant
ENSG00000166444,DENND2B,Pre-Transplant
ENSG00000254584,LINC03031,Pre-Transplant
ENSG00000167325,RRM1,Pre-Transplant
ENSG00000166311,SMPD1,Pre-Transplant
ENSG00000149091,DGKZ,Pre-Transplant
ENSG00000237354,OR52S1P,Pre-Transplant
ENSG00000201980,SNORA62,Pre-Transplant
ENSG00000167355,OR51B5,Pre-Transplant
ENSG00000196666,FAM180B,Pre-Transplant
ENSG00000281880,PAUPAR,Pre-Transplant
ENSG00000172208,OR4X2,Pre-Transplant
ENSG00000272634,OR51F5P,Pre-Transplant
ENSG00000255032,TSPAN18-AS1,Pre-Transplant
ENSG00000202147,RNA5SP329,Pre-Transplant
ENSG00000197023,OR51A6P,Pre-Transplant
ENSG00000263389,MIR3973,Pre-Transplant
ENSG00000133818,RRAS2,Pre-Transplant
ENSG00000130413,STK33,Pre-Transplant
ENSG00000172247,C1QTNF4,Pre-Transplant
ENSG00000254489,MPPED2-AS1,Pre-Transplant
